episode : 277 | score_avg : -275.48191845017254 | loss : 0.00075013458263129 | done : False
episode : 278 | score_avg : -284.2837266051553 | loss : -0.03271760046482086 | done : False
episode : 279 | score_avg : -284.2053539446398 | loss : -0.005989645607769489 | done : False
episode : 280 | score_avg : -285.13481855017585 | loss : -0.013823130168020725 | done : False
episode : 281 | score_avg : -284.1213366951583 | loss : -0.0126590421423316 | done : False
episode : 282 | score_avg : -282.7592030256425 | loss : 0.005070230457931757 | done : False
episode : 283 | score_avg : -279.53328272307823 | loss : -0.01347358338534832 | done : False
episode : 284 | score_avg : -278.8799544507704 | loss : 0.010318954475224018 | done : False
episode : 285 | score_avg : -280.8419590056934 | loss : -0.004219464026391506 | done : False
episode : 286 | score_avg : -277.8077631051241 | loss : -0.006550519727170467 | done : False
episode : 287 | score_avg : -275.47698679461166 | loss : -0.005876985844224691 | done : False
episode : 288 | score_avg : -272.9792881151505 | loss : -0.0017310901312157512 | done : False
episode : 289 | score_avg : -270.73135930363543 | loss : -0.00563479121774435 | done : False
episode : 290 | score_avg : -286.7582233732719 | loss : 0.019419141113758087 | done : False
episode : 291 | score_avg : -283.1324010359447 | loss : 0.006462033838033676 | done : False
episode : 292 | score_avg : -290.71916093235023 | loss : 0.02703157439827919 | done : False
episode : 293 | score_avg : -298.8972448391152 | loss : 0.9102271199226379 | done : False
episode : 294 | score_avg : -304.6575203552037 | loss : 0.020821010693907738 | done : False
episode : 295 | score_avg : -299.24176831968333 | loss : 0.007063114084303379 | done : False
episode : 296 | score_avg : -294.367591487715 | loss : -2.212380786659196e-05 | done : False
episode : 297 | score_avg : -300.0808323389435 | loss : 0.029071271419525146 | done : False
episode : 298 | score_avg : -303.92274910504915 | loss : 0.19519402086734772 | done : False
episode : 299 | score_avg : -317.78047419454424 | loss : 0.3621596693992615 | done : False
episode : 300 | score_avg : -316.60242677508984 | loss : 0.24399404227733612 | done : False
episode : 301 | score_avg : -311.2921840975809 | loss : 0.05546318739652634 | done : False
episode : 302 | score_avg : -307.2629656878228 | loss : -0.0040333266369998455 | done : False
episode : 303 | score_avg : -301.58666911904055 | loss : 0.023836608976125717 | done : False
