episode : 206 | score_avg : 11.563173371145337 | loss : 3.081671714782715 | done : True
episode : 207 | score_avg : 11.206856034030805 | loss : 3.359560012817383 | done : True
episode : 208 | score_avg : 11.286170430627724 | loss : 4.0740485191345215 | done : True
episode : 209 | score_avg : 11.607553387564952 | loss : 4.358055114746094 | done : True
episode : 210 | score_avg : 11.696798048808457 | loss : 10.559743881225586 | done : True
episode : 211 | score_avg : 11.527118243927612 | loss : 51.75188446044922 | done : True
episode : 212 | score_avg : 11.574406419534853 | loss : 12.706130981445312 | done : True
episode : 213 | score_avg : 11.866965777581367 | loss : 4.358044147491455 | done : True
episode : 214 | score_avg : 11.68026919982323 | loss : 3.2623887062072754 | done : True
episode : 215 | score_avg : 12.012242279840908 | loss : 5.335083961486816 | done : True
episode : 216 | score_avg : 11.811018051856818 | loss : 3.737506866455078 | done : True
episode : 217 | score_avg : 11.929916246671137 | loss : 3.946049213409424 | done : True
episode : 218 | score_avg : 11.736924622004024 | loss : 52.11854553222656 | done : True
episode : 219 | score_avg : 11.713232159803622 | loss : 16.9021053314209 | done : True
episode : 220 | score_avg : 11.741908943823262 | loss : 3.7073252201080322 | done : True
episode : 221 | score_avg : 11.667718049440936 | loss : 3.4466381072998047 | done : True
episode : 222 | score_avg : 11.750946244496843 | loss : 13.213778495788574 | done : True
episode : 223 | score_avg : 11.675851620047158 | loss : 25.24590492248535 | done : True
episode : 224 | score_avg : 12.008266458042442 | loss : 5.821044921875 | done : True
episode : 225 | score_avg : 12.2074398122382 | loss : 6.636889934539795 | done : True
episode : 226 | score_avg : 12.23669583101438 | loss : 10.111010551452637 | done : True
episode : 227 | score_avg : 12.113026247912941 | loss : 26.34716033935547 | done : True
episode : 228 | score_avg : 12.001723623121647 | loss : 25.099679946899414 | done : True
episode : 229 | score_avg : 12.001551260809482 | loss : 12.659289360046387 | done : True
episode : 230 | score_avg : 12.151396134728534 | loss : 7.285674095153809 | done : True
episode : 231 | score_avg : 11.736256521255681 | loss : 3.031390428543091 | done : True
episode : 232 | score_avg : 11.662630869130114 | loss : 26.23866844177246 | done : True
episode : 233 | score_avg : 11.846367782217103 | loss : 7.5666608810424805 | done : True
episode : 234 | score_avg : 12.161731003995392 | loss : 5.800210952758789 | done : True
episode : 235 | score_avg : 12.295557903595853 | loss : 7.348188877105713 | done : True
episode : 236 | score_avg : 12.166002113236267 | loss : 3.446575880050659 | done : True
episode : 237 | score_avg : 11.64940190191264 | loss : 3.19736909866333 | done : True
episode : 238 | score_avg : 11.384461711721377 | loss : 3.5442347526550293 | done : True
episode : 239 | score_avg : 11.64601554054924 | loss : 4.1261515617370605 | done : True
episode : 240 | score_avg : 11.931413986494317 | loss : 5.9320597648620605 | done : True
episode : 241 | score_avg : 11.838272587844886 | loss : 25.50439453125 | done : True
episode : 242 | score_avg : 11.604445329060397 | loss : 3.320945978164673 | done : True
episode : 243 | score_avg : 11.944000796154358 | loss : 5.180506229400635 | done : True
episode : 244 | score_avg : 11.799600716538922 | loss : 3.5078306198120117 | done : True
episode : 245 | score_avg : 11.619640644885031 | loss : 51.486305236816406 | done : True
episode : 246 | score_avg : 11.807676580396528 | loss : 4.189955711364746 | done : True
episode : 247 | score_avg : 11.626908922356876 | loss : 3.3372859954833984 | done : True
episode : 248 | score_avg : 11.464218030121188 | loss : 3.2623207569122314 | done : True
