episode : 95 | score_avg : -198.37333727465958 | loss : 0.11871460825204849 | done : False
episode : 96 | score_avg : -153.93600354719362 | loss : 0.1945744752883911 | done : False
episode : 97 | score_avg : -114.09240319247426 | loss : 1.161305546760559 | done : False
episode : 98 | score_avg : -77.93316287322683 | loss : 0.01599271595478058 | done : False
episode : 99 | score_avg : -46.589846585904155 | loss : 0.11113689094781876 | done : False
episode : 100 | score_avg : -17.33086192731374 | loss : 0.06898140907287598 | done : False
episode : 101 | score_avg : 9.302224265417635 | loss : -0.014634523540735245 | done : False
episode : 102 | score_avg : 32.972001838875876 | loss : 0.10067979991436005 | done : False
episode : 103 | score_avg : 50.97480165498829 | loss : 0.043990474194288254 | done : False
episode : 104 | score_avg : 67.92732148948946 | loss : 0.014065341092646122 | done : False
episode : 105 | score_avg : 84.23458934054051 | loss : 0.09459340572357178 | done : False
episode : 106 | score_avg : 99.36113040648645 | loss : -0.020677385851740837 | done : False
episode : 107 | score_avg : 114.32501736583781 | loss : -0.033179786056280136 | done : False
episode : 108 | score_avg : 118.79251562925404 | loss : 1.4898712635040283 | done : False
episode : 109 | score_avg : 131.96326406632863 | loss : -0.052613794803619385 | done : False
episode : 110 | score_avg : 139.91693765969578 | loss : 0.0490400493144989 | done : False
episode : 111 | score_avg : 145.8752438937262 | loss : 0.011119098402559757 | done : False
episode : 112 | score_avg : 156.3377195043536 | loss : -0.030883274972438812 | done : False
episode : 113 | score_avg : 163.80394755391825 | loss : 0.015779847279191017 | done : False
episode : 114 | score_avg : 172.47355279852644 | loss : -0.024404142051935196 | done : False
episode : 115 | score_avg : 172.77619751867383 | loss : 0.1313568651676178 | done : False
episode : 116 | score_avg : 179.79857776680646 | loss : -0.010008830577135086 | done : False
episode : 117 | score_avg : 186.86871999012584 | loss : 0.0049218484200537205 | done : False
episode : 118 | score_avg : 192.03184799111327 | loss : 0.1366254836320877 | done : False
episode : 119 | score_avg : 189.17866319200195 | loss : 0.45162612199783325 | done : False
episode : 120 | score_avg : 190.66079687280177 | loss : 0.034775882959365845 | done : False
episode : 121 | score_avg : 194.6947171855216 | loss : -0.02599073201417923 | done : False
episode : 122 | score_avg : 191.72524546696945 | loss : 0.0755828469991684 | done : False
episode : 123 | score_avg : 180.05272092027252 | loss : 0.23186324536800385 | done : False
episode : 124 | score_avg : 184.69744882824529 | loss : 0.023228662088513374 | done : False
episode : 125 | score_avg : 167.12770394542076 | loss : 0.2729504406452179 | done : False
episode : 126 | score_avg : 174.26493355087868 | loss : 0.05747257173061371 | done : False
episode : 127 | score_avg : 180.38844019579082 | loss : 0.006553642451763153 | done : False
episode : 128 | score_avg : 186.79959617621176 | loss : -0.01868760958313942 | done : False
