episode : 225 | score_avg : -4.7649035311072 | loss : 233.94862365722656 | sigma : 50.0 | done : True
episode : 226 | score_avg : -5.68841317799648 | loss : 443.8149108886719 | sigma : 50.0 | done : True
episode : 227 | score_avg : -6.3695718601968325 | loss : 1673.23193359375 | sigma : 50.0 | done : True
episode : 228 | score_avg : -4.4826146741771495 | loss : 556.3803100585938 | sigma : 50.0 | done : True
episode : 229 | score_avg : -2.0843532067594346 | loss : 269.0875549316406 | sigma : 50.0 | done : True
episode : 230 | score_avg : -0.025917886083490993 | loss : 381.82464599609375 | sigma : 50.0 | done : True
episode : 231 | score_avg : -1.423326097475142 | loss : 531.5262451171875 | sigma : 50.0 | done : True
episode : 232 | score_avg : -2.480993487727628 | loss : 2912.778076171875 | sigma : 50.0 | done : True
episode : 233 | score_avg : -3.1328941389548652 | loss : 3600.62841796875 | sigma : 50.0 | done : True
episode : 234 | score_avg : -3.969604725059379 | loss : 1311.407470703125 | sigma : 50.0 | done : True
episode : 235 | score_avg : -4.272644252553441 | loss : 983.692626953125 | sigma : 50.0 | done : True
episode : 236 | score_avg : -5.545379827298097 | loss : 1942.1689453125 | sigma : 50.0 | done : True
episode : 237 | score_avg : -4.740841844568288 | loss : 147.55862426757812 | sigma : 50.0 | done : True
episode : 238 | score_avg : -4.816757660111459 | loss : 1262.3577880859375 | sigma : 50.0 | done : True
episode : 239 | score_avg : -2.9350818941003123 | loss : 527.6484375 | sigma : 50.0 | done : True
episode : 240 | score_avg : -2.041573704690281 | loss : 591.260009765625 | sigma : 50.0 | done : True
episode : 241 | score_avg : 2.0625836657787477 | loss : 278.4239196777344 | sigma : 50.0 | done : True
episode : 242 | score_avg : 0.5063252992008729 | loss : 2529.572021484375 | sigma : 50.0 | done : True
episode : 243 | score_avg : -1.1943072307192146 | loss : 490.804931640625 | sigma : 50.0 | done : True
episode : 244 | score_avg : 0.5751234923527069 | loss : 443.00848388671875 | sigma : 50.0 | done : True
episode : 245 | score_avg : 1.0176111431174362 | loss : 640.8533935546875 | sigma : 50.0 | done : True
episode : 246 | score_avg : 8.065850028805693 | loss : 130.69284057617188 | sigma : 50.0 | done : True
episode : 247 | score_avg : 6.759265025925124 | loss : 962.185546875 | sigma : 50.0 | done : True
episode : 248 | score_avg : 5.0333385233326124 | loss : 405.1175537109375 | sigma : 50.0 | done : True
episode : 249 | score_avg : 4.530004670999351 | loss : 520.6090087890625 | sigma : 50.0 | done : True
episode : 250 | score_avg : 2.377004203899416 | loss : 1875.622314453125 | sigma : 50.0 | done : True
episode : 251 | score_avg : 0.6393037835094746 | loss : 519.2045288085938 | sigma : 50.0 | done : True
episode : 252 | score_avg : -0.6746265948414728 | loss : 2142.34521484375 | sigma : 50.0 | done : True
episode : 253 | score_avg : 10.442836064642675 | loss : 1.9924393892288208 | sigma : 50.0 | done : False
episode : 254 | score_avg : 7.4485524581784075 | loss : 274.84661865234375 | sigma : 50.0 | done : True
episode : 255 | score_avg : 5.053697212360566 | loss : 971.2255859375 | sigma : 50.0 | done : True
episode : 256 | score_avg : 7.0483274911245095 | loss : 355.85235595703125 | sigma : 50.0 | done : True
episode : 257 | score_avg : 7.243494742012059 | loss : 652.2579345703125 | sigma : 50.0 | done : True
episode : 258 | score_avg : 4.119145267810853 | loss : 1188.2227783203125 | sigma : 50.0 | done : True
episode : 259 | score_avg : 2.807230741029768 | loss : 546.8197631835938 | sigma : 50.0 | done : True
episode : 260 | score_avg : 1.426507666926791 | loss : 647.86181640625 | sigma : 50.0 | done : True
episode : 261 | score_avg : 3.4838569002341124 | loss : 282.3831787109375 | sigma : 50.0 | done : True
episode : 262 | score_avg : 2.7354712102107013 | loss : 1170.7095947265625 | sigma : 50.0 | done : True
episode : 263 | score_avg : -1.0880759108103693 | loss : 466.04449462890625 | sigma : 50.0 | done : True
episode : 264 | score_avg : -1.2792683197293324 | loss : 542.7456665039062 | sigma : 50.0 | done : True
